Scenario_ID,Scenario,Method,Caliper,Max_Abs_SMD,Retention,N_Matched,RMSE,Meets_Threshold
23,"n=1000, prev=0.3, low, weak",ACS-Knee,0.581,0.10540114380152317,0.7302821433936726,218.861,0.14877981815291041,No
23,"n=1000, prev=0.3, low, weak",ACS-Weighted,0.913,0.13876496374483321,0.802465838646173,240.502,0.16532824667859286,No
24,"n=1000, prev=0.3, low, strong",Fixed-0.1,0.1,0.0862490723037907,0.6347212295526667,190.304,0.1754412956403086,Yes
24,"n=1000, prev=0.3, low, strong",Fixed-0.2,0.2,0.08393442772621146,0.6486575378086586,194.483,0.17411553637494068,Yes
24,"n=1000, prev=0.3, low, strong",Fixed-0.5,0.5,0.09802607893912167,0.7090158526284888,212.592,0.20140064472140606,Yes
24,"n=1000, prev=0.3, low, strong",No Caliper,None,0.33095447172141806,1.0,300.008,0.8069818689121333,No
24,"n=1000, prev=0.3, low, strong",ACS-Balance,0.508,0.09160961723607795,0.7110277839386543,213.187,0.21077634931519673,Yes
24,"n=1000, prev=0.3, low, strong",ACS-Knee,0.588,0.10521835390571528,0.730976873305479,219.154,0.2500726995732784,No
24,"n=1000, prev=0.3, low, strong",ACS-Weighted,0.926,0.14018935087324347,0.8058002495142028,241.618,0.3667350031199968,No
25,"n=1000, prev=0.5, high, weak",Fixed-0.1,0.1,0.04562143420630146,0.7771222531779878,379.176,0.10506989785192543,Yes
25,"n=1000, prev=0.5, high, weak",Fixed-0.2,0.2,0.04398977513143909,0.7874853476126887,384.233,0.10469203187269424,Yes
25,"n=1000, prev=0.5, high, weak",Fixed-0.5,0.5,0.05024129217495075,0.8110120218694765,395.713,0.10403541152831088,Yes
25,"n=1000, prev=0.5, high, weak",No Caliper,None,0.3122426356827111,1.0,488.088,0.252314808037576,No
25,"n=1000, prev=0.5, high, weak",ACS-Balance,0.968,0.0848855369785392,0.8560173172216982,417.675,0.11246200174798776,Yes
25,"n=1000, prev=0.5, high, weak",ACS-Knee,0.601,0.0549020961268446,0.8213853206773423,400.768,0.10682180376177058,Yes
25,"n=1000, prev=0.5, high, weak",ACS-Weighted,0.970,0.0821157708682542,0.8577417473647945,418.513,0.11713116780220725,Yes
26,"n=1000, prev=0.5, high, strong",Fixed-0.1,0.1,0.04577917150781868,0.7776150232107086,378.921,0.12429693632321331,Yes
26,"n=1000, prev=0.5, high, strong",Fixed-0.2,0.2,0.04472654410826324,0.7881765343035462,384.069,0.12320491439572342,Yes
26,"n=1000, prev=0.5, high, strong",Fixed-0.5,0.5,0.05049329075961209,0.810977206791848,395.179,0.13263078122754937,Yes
26,"n=1000, prev=0.5, high, strong",No Caliper,None,0.31117505980003174,1.0,487.458,0.7876808089221626,No
26,"n=1000, prev=0.5, high, strong",ACS-Balance,0.967,0.08489035272763094,0.8561348175126898,417.187,0.20929264637734826,Yes
26,"n=1000, prev=0.5, high, strong",ACS-Knee,0.589,0.05417964020057674,0.8202794870470882,399.702,0.15257916052440887,Yes
26,"n=1000, prev=0.5, high, strong",ACS-Weighted,0.986,0.0828943909934826,0.8595686264131795,418.853,0.23695565094727106,Yes
27,"n=1000, prev=0.5, medium, weak",Fixed-0.1,0.1,0.06114623029988713,0.6104084807040022,298.192,0.11708083303890855,Yes
27,"n=1000, prev=0.5, medium, weak",Fixed-0.2,0.2,0.06011872879349172,0.6195883263435445,302.676,0.11534057670008098,Yes
27,"n=1000, prev=0.5, medium, weak",Fixed-0.5,0.5,0.07610126619902328,0.6559688218107869,320.447,0.11701975911675705,Yes
27,"n=1000, prev=0.5, medium, weak",No Caliper,None,0.5235685689470796,1.0,488.659,0.4241453416153382,No
27,"n=1000, prev=0.5, medium, weak",ACS-Balance,0.644,0.09025034044361428,0.6783556308986377,331.384,0.12329786600914103,Yes
27,"n=1000, prev=0.5, medium, weak",ACS-Knee,0.517,0.07837025582285169,0.6617345849920928,323.268,0.12100524845561023,Yes
27,"n=1000, prev=0.5, medium, weak",ACS-Weighted,0.940,0.13199483355773925,0.7297685611777172,356.5,0.15212297783532275,No
28,"n=1000, prev=0.5, medium, strong",Fixed-0.1,0.1,0.06075398692681132,0.612194537134545,298.997,0.13701622816319906,Yes
28,"n=1000, prev=0.5, medium, strong",Fixed-0.2,0.2,0.059517382297104265,0.6210895355965954,303.341,0.13763402158075533,Yes
