scenario_id,n,treatment_prevalence,overlap_name,confounding_name,method,mean_caliper,mean_n_matched,mean_retention,mean_max_smd,sd_max_smd,mean_mean_smd,mean_att,sd_att,mean_bias,mean_abs_bias,mean_mse,coverage_rate,mean_ci_width,rmse
9,500,0.5,medium,weak,ACS-Balance,0.52915,160.638,0.6639844339174499,0.09068512112791198,0.011038373489084437,0.04977321575599251,0.5336793228006165,0.11015579047917567,0.033679322800616376,0.09117770220039907,0.0266142619363759,0.954,0.45556656695249653,0.1631387812151847
9,500,0.5,medium,weak,ACS-Knee,0.61585,164.348,0.6793466967609139,0.10568089439807683,0.03853671437254851,0.057240514923239436,0.5459487207602784,0.11289358615041144,0.04594872076027839,0.0966478170222444,0.02792546880952577,0.935,0.4507450943407664,0.16710915238108826
9,500,0.5,medium,weak,ACS-Weighted,0.99815,179.967,0.7439523050504817,0.1529523687806398,0.07002818378976335,0.09624575764856423,0.5980962749825471,0.11817254068782271,0.09809627498254712,0.1236232425755272,0.035586601790118806,0.822,0.4316303507111387,0.18864411411469695
9,500,0.5,medium,weak,Fixed-0.1,0.1,147.098,0.6080093779960198,0.08774642071372676,0.031054559221121502,0.04345151133616711,0.499815178840079,0.11470126857947811,-0.00018482115992097907,0.09177157600424311,0.027694276622955403,0.965,0.47581111467175935,0.16641597466275707
9,500,0.5,medium,weak,Fixed-0.2,0.2,150.123,0.6205197540670456,0.08642123837919809,0.03019875726269767,0.0423617709765312,0.5026534114113459,0.11198419526227382,0.002653411411345893,0.09038596402511989,0.026818389920178796,0.968,0.471380385209345,0.1637632129636531
9,500,0.5,medium,weak,Fixed-0.5,0.5,159.427,0.6589782184428659,0.0960237958815355,0.027434787621737705,0.04588302111546146,0.5290855274829928,0.10878653316782191,0.029085527482992767,0.08966006436298929,0.026090619981349275,0.951,0.45678711628218666,0.1615259111763474
9,500,0.5,medium,weak,No Caliper,inf,242.057,1.0,0.5367063413118188,0.07740172652761812,0.34361199676470566,0.8946980168577283,0.10277998714346022,0.39469801685772843,0.39469801685772843,0.17592102284654235,0.028,0.3852232405876781,0.4194294015046422
10,500,0.5,medium,strong,ACS-Balance,0.5272,159.982,0.6609576079706708,0.09101515644033258,0.011674653466452103,0.05030153531929185,0.6216330861918233,0.1283925460441527,0.12163308619182328,0.1467554248618577,0.05325533059182433,0.908,0.5833555525495072,0.2307711649921288
10,500,0.5,medium,strong,ACS-Knee,0.606,163.528,0.675579427632997,0.10554751447136708,0.038180123581518746,0.056687706824106926,0.6581629872815246,0.15696021048416978,0.15816298728152456,0.18186874522013513,0.07132293179680085,0.783,0.5793500860561008,0.26706353513125086
10,500,0.5,medium,strong,ACS-Weighted,1.00135,179.881,0.7431860487360096,0.15523281463232297,0.07120987694559718,0.09799620755102344,0.8472697569327875,0.21993076722884616,0.34726975693278744,0.35192794071300487,0.18954070235786394,0.421,0.5648965398551287,0.43536272504414514
10,500,0.5,medium,strong,Fixed-0.1,0.1,146.473,0.605150011776737,0.08693558980584644,0.03301380116020729,0.04302365573513082,0.5100639080905109,0.1264520843951672,0.010063908090510908,0.1027641985829279,0.03967337985386306,0.984,0.6045858010170901,0.1991817759079958
10,500,0.5,medium,strong,Fixed-0.2,0.2,149.415,0.6173127916782047,0.08562201090708006,0.03185408750569841,0.04183928807172672,0.5227387480932807,0.1254628711701035,0.02273874809328067,0.10263989665216215,0.039383580627221984,0.984,0.5986928157500435,0.1984529683003557
10,500,0.5,medium,strong,Fixed-0.5,0.5,158.806,0.6560967439760041,0.09724212087612989,0.02697564759178379,0.04632413375119605,0.6064508790265554,0.12289092069827097,0.1064508790265554,0.13292129734363992,0.0484198017403838,0.939,0.5835507855348471,0.2200449993532773
10,500,0.5,medium,strong,No Caliper,inf,242.178,1.0,0.5398415636596681,0.08066937275068563,0.3454564252731548,1.843404734700639,0.2016373323533635,1.343404734700639,1.343404734700639,1.8685399849885986,0.0,0.5990174590671585,1.3669454945200261
11,500,0.5,low,weak,ACS-Balance,0.34895,119.902,0.4932104264819073,0.09529545306494985,0.01683390789292555,0.05333369110252578,0.5224004995432985,0.1328392449770104,0.022400499543298445,0.10809022366786758,0.03593069160641255,0.95,0.5266997979917166,0.18955392796355489
11,500,0.5,low,weak,ACS-Knee,0.55935,130.34,0.5360756092232013,0.13787185507024163,0.05223860256508305,0.07326707176895166,0.5583429539846524,0.1366070800199699,0.05834295398465235,0.11990192421304134,0.0384890382704185,0.915,0.5057017778764712,0.1961862336414523
11,500,0.5,low,weak,ACS-Weighted,0.9773999999999999,153.677,0.6321148542887912,0.21001899384009756,0.10382447717567819,0.13587304673215891,0.6365738468766396,0.1416196070216719,0.1365738468766397,0.16095024286137521,0.05287887470981859,0.748,0.46889927347235966,0.22995407087029052
11,500,0.5,low,weak,Fixed-0.1,0.1,110.559,0.45479440708239344,0.11044742035614986,0.039627615900858504,0.05439191106616459,0.497656438598977,0.1392796018831799,-0.002343561401023022,0.1111013931343544,0.03857528126951994,0.946,0.5475315783215972,0.19640590945671654
11,500,0.5,low,weak,Fixed-0.2,0.2,113.58,0.4672257687223382,0.10764728807595335,0.037148896150640334,0.052964792976244346,0.504070303713001,0.13823109856870555,0.004070303713000945,0.11110916382006536,0.03782932115691817,0.951,0.5407249870999007,0.19449761221392456
11,500,0.5,low,weak,Fixed-0.5,0.5,126.39,0.5199283498062547,0.12898362875048142,0.03316913452037399,0.06086481243803443,0.5439602967819962,0.129493230105234,0.04396029678199624,0.10976105022610852,0.035498358587107884,0.941,0.5120169155069934,0.1884100809062718
11,500,0.5,low,weak,No Caliper,inf,243.196,1.0,0.7092417346002701,0.0750839585893214,0.46545813177507744,1.0328430556241703,0.10532597241352101,0.5328430556241703,0.5328430556241703,0.3045164308863017,0.002,0.3837603421526211,0.5518300742858273
