Scenario ID,Scenario,Method,Mean Estimate,Bias,RMSE,Coverage,CI Width
7,"n=500, prev=0.5, high, weak",ACS-Weighted,N/A,0.0597,0.1581,0.904,0.4017
7,"n=500, prev=0.5, high, weak",Fixed-0.1,N/A,0.0003,0.1510,0.956,0.4261
7,"n=500, prev=0.5, high, weak",Fixed-0.2,N/A,0.0037,0.1487,0.966,0.4210
7,"n=500, prev=0.5, high, weak",Fixed-0.5,N/A,0.0174,0.1468,0.959,0.4138
7,"n=500, prev=0.5, high, weak",No Caliper,N/A,0.2240,0.2671,0.379,0.3832
8,"n=500, prev=0.5, high, strong",ACS-Balance,N/A,0.1423,0.2282,0.860,0.5437
8,"n=500, prev=0.5, high, strong",ACS-Knee,N/A,0.0990,0.2102,0.911,0.5469
8,"n=500, prev=0.5, high, strong",ACS-Weighted,N/A,0.1970,0.2851,0.699,0.5422
8,"n=500, prev=0.5, high, strong",Fixed-0.1,N/A,-0.0038,0.1820,0.989,0.5644
8,"n=500, prev=0.5, high, strong",Fixed-0.2,N/A,0.0045,0.1793,0.989,0.5578
8,"n=500, prev=0.5, high, strong",Fixed-0.5,N/A,0.0502,0.1845,0.977,0.5502
8,"n=500, prev=0.5, high, strong",No Caliper,N/A,0.7423,0.7829,0.015,0.5798
9,"n=500, prev=0.5, medium, weak",ACS-Balance,N/A,0.0337,0.1631,0.954,0.4556
9,"n=500, prev=0.5, medium, weak",ACS-Knee,N/A,0.0459,0.1671,0.935,0.4507
9,"n=500, prev=0.5, medium, weak",ACS-Weighted,N/A,0.0981,0.1886,0.822,0.4316
9,"n=500, prev=0.5, medium, weak",Fixed-0.1,N/A,-0.0002,0.1664,0.965,0.4758
9,"n=500, prev=0.5, medium, weak",Fixed-0.2,N/A,0.0027,0.1638,0.968,0.4714
9,"n=500, prev=0.5, medium, weak",Fixed-0.5,N/A,0.0291,0.1615,0.951,0.4568
9,"n=500, prev=0.5, medium, weak",No Caliper,N/A,0.3947,0.4194,0.028,0.3852
10,"n=500, prev=0.5, medium, strong",ACS-Balance,N/A,0.1216,0.2308,0.908,0.5834
10,"n=500, prev=0.5, medium, strong",ACS-Knee,N/A,0.1582,0.2671,0.783,0.5794
10,"n=500, prev=0.5, medium, strong",ACS-Weighted,N/A,0.3473,0.4354,0.421,0.5649
10,"n=500, prev=0.5, medium, strong",Fixed-0.1,N/A,0.0101,0.1992,0.984,0.6046
10,"n=500, prev=0.5, medium, strong",Fixed-0.2,N/A,0.0227,0.1985,0.984,0.5987
10,"n=500, prev=0.5, medium, strong",Fixed-0.5,N/A,0.1065,0.2200,0.939,0.5836
10,"n=500, prev=0.5, medium, strong",No Caliper,N/A,1.3434,1.3669,0.000,0.5990
11,"n=500, prev=0.5, low, weak",ACS-Balance,N/A,0.0224,0.1896,0.950,0.5267
11,"n=500, prev=0.5, low, weak",ACS-Knee,N/A,0.0583,0.1962,0.915,0.5057
11,"n=500, prev=0.5, low, weak",ACS-Weighted,N/A,0.1366,0.2300,0.748,0.4689
11,"n=500, prev=0.5, low, weak",Fixed-0.1,N/A,-0.0023,0.1964,0.946,0.5475
11,"n=500, prev=0.5, low, weak",Fixed-0.2,N/A,0.0041,0.1945,0.951,0.5407
11,"n=500, prev=0.5, low, weak",Fixed-0.5,N/A,0.0440,0.1884,0.941,0.5120
11,"n=500, prev=0.5, low, weak",No Caliper,N/A,0.5328,0.5518,0.002,0.3838
12,"n=500, prev=0.5, low, strong",ACS-Balance,N/A,0.0894,0.2423,0.930,0.6627
12,"n=500, prev=0.5, low, strong",ACS-Knee,N/A,0.1987,0.3159,0.735,0.6424
12,"n=500, prev=0.5, low, strong",ACS-Weighted,N/A,0.4632,0.5731,0.327,0.6063
12,"n=500, prev=0.5, low, strong",Fixed-0.1,N/A,0.0027,0.2263,0.984,0.6880
12,"n=500, prev=0.5, low, strong",Fixed-0.2,N/A,0.0241,0.2237,0.981,0.6788
12,"n=500, prev=0.5, low, strong",Fixed-0.5,N/A,0.1564,0.2632,0.880,0.6469
12,"n=500, prev=0.5, low, strong",No Caliper,N/A,1.7679,1.7839,0.000,0.5956
13,"n=500, prev=0.7, high, weak",ACS-Balance,N/A,0.0192,0.1709,0.961,0.4832
13,"n=500, prev=0.7, high, weak",ACS-Knee,N/A,0.0296,0.1720,0.953,0.4810
13,"n=500, prev=0.7, high, weak",ACS-Weighted,N/A,0.0444,0.1756,0.938,0.4793
13,"n=500, prev=0.7, high, weak",Fixed-0.1,N/A,-0.0010,0.1743,0.957,0.4931
13,"n=500, prev=0.7, high, weak",Fixed-0.2,N/A,0.0014,0.1714,0.962,0.4882
13,"n=500, prev=0.7, high, weak",Fixed-0.5,N/A,0.0229,0.1699,0.958,0.4825
13,"n=500, prev=0.7, high, weak",No Caliper,N/A,0.2492,0.3049,0.479,0.4914
14,"n=500, prev=0.7, high, strong",ACS-Balance,N/A,0.0688,0.2291,0.952,0.6436
14,"n=500, prev=0.7, high, strong",ACS-Knee,N/A,0.1003,0.2461,0.912,0.6421
14,"n=500, prev=0.7, high, strong",ACS-Weighted,N/A,0.1440,0.2757,0.841,0.6429
14,"n=500, prev=0.7, high, strong",Fixed-0.1,N/A,-0.0010,0.2159,0.985,0.6539
14,"n=500, prev=0.7, high, strong",Fixed-0.2,N/A,0.0083,0.2125,0.986,0.6462
14,"n=500, prev=0.7, high, strong",Fixed-0.5,N/A,0.0808,0.2274,0.957,0.6423
14,"n=500, prev=0.7, high, strong",No Caliper,N/A,0.8276,0.8806,0.029,0.7621
15,"n=500, prev=0.7, medium, weak",ACS-Balance,N/A,0.0209,0.1846,0.948,0.5160
15,"n=500, prev=0.7, medium, weak",ACS-Knee,N/A,0.0729,0.1977,0.885,0.5007
15,"n=500, prev=0.7, medium, weak",ACS-Weighted,N/A,0.1107,0.2104,0.850,0.4903
15,"n=500, prev=0.7, medium, weak",Fixed-0.1,N/A,-0.0021,0.1891,0.947,0.5285
15,"n=500, prev=0.7, medium, weak",Fixed-0.2,N/A,0.0024,0.1854,0.950,0.5221
15,"n=500, prev=0.7, medium, weak",Fixed-0.5,N/A,0.0371,0.1844,0.941,0.5086
15,"n=500, prev=0.7, medium, weak",No Caliper,N/A,0.4309,0.4678,0.078,0.4942
16,"n=500, prev=0.7, medium, strong",ACS-Balance,N/A,0.0910,0.2401,0.938,0.6555
16,"n=500, prev=0.7, medium, strong",ACS-Knee,N/A,0.2543,0.3859,0.663,0.6439
16,"n=500, prev=0.7, medium, strong",ACS-Weighted,N/A,0.3979,0.4764,0.365,0.6355
16,"n=500, prev=0.7, medium, strong",Fixed-0.1,N/A,0.0101,0.2191,0.980,0.6689
16,"n=500, prev=0.7, medium, strong",Fixed-0.2,N/A,0.0276,0.2172,0.980,0.6616
16,"n=500, prev=0.7, medium, strong",Fixed-0.5,N/A,0.1436,0.2573,0.908,0.6484
16,"n=500, prev=0.7, medium, strong",No Caliper,N/A,1.4500,1.4794,0.000,0.7836
17,"n=500, prev=0.7, low, weak",ACS-Balance,N/A,0.0203,0.2085,0.946,0.5794
17,"n=500, prev=0.7, low, weak",ACS-Knee,N/A,0.1129,0.2449,0.801,0.5390
17,"n=500, prev=0.7, low, weak",ACS-Weighted,N/A,0.2034,0.2859,0.624,0.5053
17,"n=500, prev=0.7, low, weak",Fixed-0.1,N/A,-0.0019,0.2145,0.946,0.5966
17,"n=500, prev=0.7, low, weak",Fixed-0.2,N/A,0.0062,0.2116,0.941,0.5873
17,"n=500, prev=0.7, low, weak",Fixed-0.5,N/A,0.0549,0.2062,0.935,0.5590
17,"n=500, prev=0.7, low, weak",No Caliper,N/A,0.5703,0.5977,0.007,0.4948
18,"n=500, prev=0.7, low, strong",ACS-Balance,N/A,0.0832,0.2637,0.951,0.7315
18,"n=500, prev=0.7, low, strong",ACS-Knee,N/A,0.3772,0.5500,0.576,0.6927
18,"n=500, prev=0.7, low, strong",ACS-Weighted,N/A,0.6966,0.7799,0.112,0.6568
18,"n=500, prev=0.7, low, strong",Fixed-0.1,N/A,0.0134,0.2512,0.975,0.7496
18,"n=500, prev=0.7, low, strong",Fixed-0.2,N/A,0.0398,0.2507,0.975,0.7384
18,"n=500, prev=0.7, low, strong",Fixed-0.5,N/A,0.2030,0.3128,0.813,0.7060
18,"n=500, prev=0.7, low, strong",No Caliper,N/A,1.9166,1.9386,0.000,0.7787
19,"n=1000, prev=0.3, high, weak",ACS-Balance,N/A,0.0128,0.1208,0.950,0.3333
19,"n=1000, prev=0.3, high, weak",ACS-Knee,N/A,0.0066,0.1208,0.948,0.3349
19,"n=1000, prev=0.3, high, weak",ACS-Weighted,N/A,0.0089,0.1206,0.948,0.3342
19,"n=1000, prev=0.3, high, weak",Fixed-0.1,N/A,-0.0036,0.1230,0.948,0.3411
19,"n=1000, prev=0.3, high, weak",Fixed-0.2,N/A,-0.0030,0.1222,0.949,0.3389
19,"n=1000, prev=0.3, high, weak",Fixed-0.5,N/A,0.0006,0.1210,0.949,0.3364
19,"n=1000, prev=0.3, high, weak",No Caliper,N/A,0.0147,0.1212,0.947,0.3329
20,"n=1000, prev=0.3, high, strong",ACS-Balance,N/A,0.0519,0.1545,0.951,0.4300
20,"n=1000, prev=0.3, high, strong",ACS-Knee,N/A,0.0314,0.1469,0.968,0.4304
20,"n=1000, prev=0.3, high, strong",ACS-Weighted,N/A,0.0394,0.1494,0.960,0.4299
20,"n=1000, prev=0.3, high, strong",Fixed-0.1,N/A,-0.0027,0.1441,0.982,0.4368
