Scenario ID,Scenario,Method,Mean Matched,SD Matched,Retention,Max |SMD|,Mean Bias,|Bias|,RMSE,MSE,Coverage
15,"n=500, prev=0.7, medium, weak",No Caliper,149.4,N/A,1.000,0.602,0.4309,0.4309,0.4678,N/A,0.078
16,"n=500, prev=0.7, medium, strong",ACS-Balance,126.0,N/A,0.840,0.093,0.0910,0.1404,0.2401,N/A,0.938
16,"n=500, prev=0.7, medium, strong",ACS-Knee,133.9,N/A,0.893,0.150,0.2543,0.2740,0.3859,N/A,0.663
16,"n=500, prev=0.7, medium, strong",ACS-Weighted,140.8,N/A,0.939,0.190,0.3979,0.3997,0.4764,N/A,0.365
16,"n=500, prev=0.7, medium, strong",Fixed-0.1,119.8,N/A,0.799,0.107,0.0101,0.1096,0.2191,N/A,0.980
16,"n=500, prev=0.7, medium, strong",Fixed-0.2,122.6,N/A,0.818,0.103,0.0276,0.1098,0.2172,N/A,0.980
16,"n=500, prev=0.7, medium, strong",Fixed-0.5,129.5,N/A,0.864,0.125,0.1436,0.1638,0.2573,N/A,0.908
16,"n=500, prev=0.7, medium, strong",No Caliper,150.1,N/A,1.000,0.601,1.4500,1.4500,1.4794,N/A,0.000
17,"n=500, prev=0.7, low, weak",ACS-Balance,99.0,N/A,0.661,0.100,0.0203,0.1192,0.2085,N/A,0.946
17,"n=500, prev=0.7, low, weak",ACS-Knee,116.1,N/A,0.775,0.211,0.1129,0.1611,0.2449,N/A,0.801
17,"n=500, prev=0.7, low, weak",ACS-Weighted,132.5,N/A,0.884,0.302,0.2034,0.2160,0.2859,N/A,0.624
17,"n=500, prev=0.7, low, weak",Fixed-0.1,93.5,N/A,0.625,0.123,-0.0019,0.1216,0.2145,N/A,0.946
17,"n=500, prev=0.7, low, weak",Fixed-0.2,96.2,N/A,0.643,0.120,0.0062,0.1213,0.2116,N/A,0.941
17,"n=500, prev=0.7, low, weak",Fixed-0.5,106.8,N/A,0.714,0.152,0.0549,0.1205,0.2062,N/A,0.935
17,"n=500, prev=0.7, low, weak",No Caliper,149.9,N/A,1.000,0.775,0.5703,0.5703,0.5977,N/A,0.007
18,"n=500, prev=0.7, low, strong",ACS-Balance,98.4,N/A,0.657,0.101,0.0832,0.1536,0.2637,N/A,0.951
