Scenario ID,Scenario,Method,Mean Matched,SD Matched,Retention,Max |SMD|,Mean Bias,|Bias|,RMSE,MSE,Coverage
29,"n=1000, prev=0.5, low, weak",Fixed-0.5,254.5,N/A,0.519,0.104,0.0471,0.0827,0.1377,N/A,0.925
29,"n=1000, prev=0.5, low, weak",No Caliper,490.2,N/A,1.000,0.690,0.5391,0.5391,0.5485,N/A,0.000
30,"n=1000, prev=0.5, low, strong",ACS-Balance,249.7,N/A,0.509,0.090,0.1303,0.1422,0.2039,N/A,0.813
30,"n=1000, prev=0.5, low, strong",ACS-Knee,255.8,N/A,0.522,0.106,0.1664,0.1806,0.2558,N/A,0.686
30,"n=1000, prev=0.5, low, strong",ACS-Weighted,300.4,N/A,0.613,0.178,0.4174,0.4187,0.5013,N/A,0.209
30,"n=1000, prev=0.5, low, strong",Fixed-0.1,225.1,N/A,0.459,0.076,0.0102,0.0801,0.1576,N/A,0.980
30,"n=1000, prev=0.5, low, strong",Fixed-0.2,230.4,N/A,0.470,0.076,0.0295,0.0811,0.1577,N/A,0.975
30,"n=1000, prev=0.5, low, strong",Fixed-0.5,255.1,N/A,0.520,0.105,0.1575,0.1611,0.2170,N/A,0.764
30,"n=1000, prev=0.5, low, strong",No Caliper,490.3,N/A,1.000,0.690,1.7964,1.7964,1.8046,N/A,0.000
31,"n=1000, prev=0.7, high, weak",ACS-Balance,295.7,N/A,0.986,0.085,0.0414,0.0752,0.1273,N/A,0.919
31,"n=1000, prev=0.7, high, weak",ACS-Knee,294.9,N/A,0.983,0.080,0.0375,0.0755,0.1273,N/A,0.924
31,"n=1000, prev=0.7, high, weak",ACS-Weighted,296.5,N/A,0.989,0.088,0.0472,0.0794,0.1310,N/A,0.906
31,"n=1000, prev=0.7, high, weak",Fixed-0.1,285.4,N/A,0.952,0.065,0.0057,0.0674,0.1211,N/A,0.949
31,"n=1000, prev=0.7, high, weak",Fixed-0.2,289.0,N/A,0.964,0.065,0.0092,0.0681,0.1209,N/A,0.954
31,"n=1000, prev=0.7, high, weak",Fixed-0.5,293.8,N/A,0.980,0.078,0.0300,0.0705,0.1229,N/A,0.938
31,"n=1000, prev=0.7, high, weak",No Caliper,299.9,N/A,1.000,0.360,0.2560,0.2562,0.2856,N/A,0.190
32,"n=1000, prev=0.7, high, strong",ACS-Balance,295.3,N/A,0.985,0.086,0.1289,0.1414,0.1985,N/A,0.782
32,"n=1000, prev=0.7, high, strong",ACS-Knee,294.1,N/A,0.982,0.077,0.1020,0.1225,0.1892,N/A,0.836
32,"n=1000, prev=0.7, high, strong",ACS-Weighted,296.1,N/A,0.988,0.087,0.1426,0.1551,0.2160,N/A,0.725
32,"n=1000, prev=0.7, high, strong",Fixed-0.1,284.6,N/A,0.950,0.065,0.0050,0.0715,0.1423,N/A,0.985
32,"n=1000, prev=0.7, high, strong",Fixed-0.2,288.2,N/A,0.962,0.064,0.0159,0.0717,0.1419,N/A,0.989
32,"n=1000, prev=0.7, high, strong",Fixed-0.5,293.3,N/A,0.979,0.078,0.0884,0.1039,0.1666,N/A,0.924
32,"n=1000, prev=0.7, high, strong",No Caliper,299.7,N/A,1.000,0.358,0.8550,0.8550,0.8797,N/A,0.000
33,"n=1000, prev=0.7, medium, weak",ACS-Balance,260.1,N/A,0.867,0.090,0.0372,0.0779,0.1323,N/A,0.937
33,"n=1000, prev=0.7, medium, weak",ACS-Knee,269.2,N/A,0.897,0.134,0.0748,0.1063,0.1613,N/A,0.810
33,"n=1000, prev=0.7, medium, weak",ACS-Weighted,284.2,N/A,0.947,0.181,0.1222,0.1312,0.1781,N/A,0.700
33,"n=1000, prev=0.7, medium, weak",Fixed-0.1,245.0,N/A,0.816,0.073,-0.0016,0.0735,0.1307,N/A,0.951
33,"n=1000, prev=0.7, medium, weak",Fixed-0.2,248.6,N/A,0.828,0.072,0.0051,0.0732,0.1295,N/A,0.962
33,"n=1000, prev=0.7, medium, weak",Fixed-0.5,261.4,N/A,0.871,0.099,0.0400,0.0773,0.1319,N/A,0.941
33,"n=1000, prev=0.7, medium, weak",No Caliper,300.3,N/A,1.000,0.568,0.4311,0.4311,0.4492,N/A,0.001
34,"n=1000, prev=0.7, medium, strong",ACS-Balance,259.9,N/A,0.866,0.090,0.1328,0.1443,0.2056,N/A,0.802
34,"n=1000, prev=0.7, medium, strong",ACS-Knee,268.0,N/A,0.892,0.128,0.2415,0.2559,0.3607,N/A,0.570
34,"n=1000, prev=0.7, medium, strong",ACS-Weighted,283.7,N/A,0.944,0.179,0.4129,0.4131,0.4588,N/A,0.094
34,"n=1000, prev=0.7, medium, strong",Fixed-0.1,244.5,N/A,0.814,0.072,0.0044,0.0784,0.1520,N/A,0.980
34,"n=1000, prev=0.7, medium, strong",Fixed-0.2,248.1,N/A,0.826,0.071,0.0223,0.0794,0.1518,N/A,0.979
34,"n=1000, prev=0.7, medium, strong",Fixed-0.5,260.9,N/A,0.869,0.098,0.1411,0.1460,0.2042,N/A,0.818
34,"n=1000, prev=0.7, medium, strong",No Caliper,300.4,N/A,1.000,0.570,1.4558,1.4558,1.4706,N/A,0.000
35,"n=1000, prev=0.7, low, weak",ACS-Balance,205.2,N/A,0.685,0.092,0.0375,0.0856,0.1474,N/A,0.933
35,"n=1000, prev=0.7, low, weak",ACS-Knee,231.5,N/A,0.773,0.189,0.1176,0.1472,0.2123,N/A,0.701
35,"n=1000, prev=0.7, low, weak",ACS-Weighted,268.6,N/A,0.896,0.298,0.2205,0.2222,0.2652,N/A,0.382
35,"n=1000, prev=0.7, low, weak",Fixed-0.1,190.4,N/A,0.635,0.086,0.0072,0.0819,0.1472,N/A,0.948
35,"n=1000, prev=0.7, low, weak",Fixed-0.2,194.9,N/A,0.651,0.086,0.0157,0.0804,0.1453,N/A,0.949
35,"n=1000, prev=0.7, low, weak",Fixed-0.5,215.6,N/A,0.719,0.125,0.0624,0.0922,0.1511,N/A,0.911
35,"n=1000, prev=0.7, low, weak",No Caliper,299.9,N/A,1.000,0.741,0.5713,0.5713,0.5848,N/A,0.000
36,"n=1000, prev=0.7, low, strong",ACS-Balance,204.7,N/A,0.684,0.092,0.1081,0.1326,0.2059,N/A,0.873
36,"n=1000, prev=0.7, low, strong",ACS-Knee,230.5,N/A,0.771,0.186,0.3689,0.3833,0.5523,N/A,0.536
36,"n=1000, prev=0.7, low, strong",ACS-Weighted,268.1,N/A,0.895,0.297,0.7149,0.7149,0.7741,N/A,0.016
36,"n=1000, prev=0.7, low, strong",Fixed-0.1,190.0,N/A,0.635,0.085,0.0030,0.0876,0.1705,N/A,0.986
36,"n=1000, prev=0.7, low, strong",Fixed-0.2,194.4,N/A,0.650,0.086,0.0317,0.0899,0.1715,N/A,0.974
36,"n=1000, prev=0.7, low, strong",Fixed-0.5,215.2,N/A,0.719,0.125,0.1938,0.1959,0.2528,N/A,0.691
36,"n=1000, prev=0.7, low, strong",No Caliper,299.5,N/A,1.000,0.744,1.9090,1.9090,1.9193,N/A,0.000
37,"n=2000, prev=0.3, high, weak",ACS-Balance,599.8,N/A,0.999,0.051,0.0128,0.0479,0.0841,N/A,0.957
37,"n=2000, prev=0.3, high, weak",ACS-Knee,592.7,N/A,0.988,0.044,0.0054,0.0469,0.0836,N/A,0.957
37,"n=2000, prev=0.3, high, weak",ACS-Weighted,595.1,N/A,0.992,0.044,0.0075,0.0473,0.0837,N/A,0.954
37,"n=2000, prev=0.3, high, weak",Fixed-0.1,577.3,N/A,0.962,0.046,-0.0025,0.0474,0.0845,N/A,0.965
37,"n=2000, prev=0.3, high, weak",Fixed-0.2,581.6,N/A,0.969,0.045,-0.0020,0.0471,0.0841,N/A,0.959
37,"n=2000, prev=0.3, high, weak",Fixed-0.5,588.3,N/A,0.980,0.045,0.0014,0.0470,0.0836,N/A,0.958
37,"n=2000, prev=0.3, high, weak",No Caliper,600.1,N/A,1.000,0.052,0.0133,0.0481,0.0842,N/A,0.957
38,"n=2000, prev=0.3, high, strong",ACS-Balance,598.9,N/A,0.999,0.050,0.0484,0.0684,0.1142,N/A,0.925
38,"n=2000, prev=0.3, high, strong",ACS-Knee,592.8,N/A,0.989,0.043,0.0276,0.0585,0.1050,N/A,0.963
38,"n=2000, prev=0.3, high, strong",ACS-Weighted,594.5,N/A,0.992,0.044,0.0327,0.0604,0.1070,N/A,0.946
38,"n=2000, prev=0.3, high, strong",Fixed-0.1,577.3,N/A,0.963,0.045,0.0009,0.0533,0.1012,N/A,0.978
38,"n=2000, prev=0.3, high, strong",Fixed-0.2,581.7,N/A,0.971,0.044,0.0023,0.0527,0.1007,N/A,0.977
38,"n=2000, prev=0.3, high, strong",Fixed-0.5,587.9,N/A,0.981,0.044,0.0121,0.0533,0.1010,N/A,0.972
38,"n=2000, prev=0.3, high, strong",No Caliper,599.2,N/A,1.000,0.050,0.0502,0.0696,0.1153,N/A,0.921
39,"n=2000, prev=0.3, medium, weak",ACS-Balance,556.8,N/A,0.927,0.088,0.0510,0.0669,0.1021,N/A,0.876
39,"n=2000, prev=0.3, medium, weak",ACS-Knee,529.2,N/A,0.882,0.060,0.0247,0.0570,0.0945,N/A,0.926
39,"n=2000, prev=0.3, medium, weak",ACS-Weighted,550.0,N/A,0.916,0.075,0.0442,0.0643,0.1001,N/A,0.889
39,"n=2000, prev=0.3, medium, weak",Fixed-0.1,495.5,N/A,0.825,0.050,0.0003,0.0524,0.0925,N/A,0.948
39,"n=2000, prev=0.3, medium, weak",Fixed-0.2,500.5,N/A,0.834,0.050,0.0029,0.0520,0.0918,N/A,0.950
39,"n=2000, prev=0.3, medium, weak",Fixed-0.5,520.4,N/A,0.867,0.056,0.0167,0.0537,0.0920,N/A,0.945
39,"n=2000, prev=0.3, medium, weak",No Caliper,600.5,N/A,1.000,0.155,0.1084,0.1108,0.1386,N/A,0.544
40,"n=2000, prev=0.3, medium, strong",ACS-Balance,557.1,N/A,0.929,0.087,0.1709,0.1717,0.2032,N/A,0.399
40,"n=2000, prev=0.3, medium, strong",ACS-Knee,529.1,N/A,0.882,0.060,0.0845,0.1011,0.1482,N/A,0.768
40,"n=2000, prev=0.3, medium, strong",ACS-Weighted,549.7,N/A,0.916,0.074,0.1467,0.1512,0.1917,N/A,0.548
40,"n=2000, prev=0.3, medium, strong",Fixed-0.1,495.2,N/A,0.826,0.050,0.0015,0.0578,0.1084,N/A,0.973
40,"n=2000, prev=0.3, medium, strong",Fixed-0.2,500.3,N/A,0.834,0.049,0.0091,0.0585,0.1085,N/A,0.978
40,"n=2000, prev=0.3, medium, strong",Fixed-0.5,520.2,N/A,0.867,0.055,0.0547,0.0727,0.1200,N/A,0.916
40,"n=2000, prev=0.3, medium, strong",No Caliper,600.0,N/A,1.000,0.153,0.3628,0.3628,0.3818,N/A,0.012
41,"n=2000, prev=0.3, low, weak",ACS-Balance,443.5,N/A,0.740,0.090,0.0477,0.0688,0.1099,N/A,0.887
41,"n=2000, prev=0.3, low, weak",ACS-Knee,429.7,N/A,0.717,0.080,0.0359,0.0642,0.1075,N/A,0.906
41,"n=2000, prev=0.3, low, weak",ACS-Weighted,478.6,N/A,0.799,0.122,0.0825,0.0915,0.1288,N/A,0.742
41,"n=2000, prev=0.3, low, weak",Fixed-0.1,384.9,N/A,0.642,0.059,-0.0007,0.0590,0.1047,N/A,0.947
41,"n=2000, prev=0.3, low, weak",Fixed-0.2,392.6,N/A,0.655,0.059,0.0041,0.0579,0.1033,N/A,0.948
41,"n=2000, prev=0.3, low, weak",Fixed-0.5,427.5,N/A,0.714,0.078,0.0322,0.0611,0.1042,N/A,0.927
41,"n=2000, prev=0.3, low, weak",No Caliper,599.4,N/A,1.000,0.315,0.2350,0.2350,0.2501,N/A,0.028
42,"n=2000, prev=0.3, low, strong",ACS-Balance,442.5,N/A,0.738,0.090,0.1653,0.1671,0.2046,N/A,0.520
42,"n=2000, prev=0.3, low, strong",ACS-Knee,430.0,N/A,0.717,0.082,0.1327,0.1433,0.1969,N/A,0.657
42,"n=2000, prev=0.3, low, strong",ACS-Weighted,478.9,N/A,0.799,0.124,0.2860,0.2864,0.3298,N/A,0.201
42,"n=2000, prev=0.3, low, strong",Fixed-0.1,384.6,N/A,0.641,0.060,0.0089,0.0633,0.1210,N/A,0.979
42,"n=2000, prev=0.3, low, strong",Fixed-0.2,392.3,N/A,0.654,0.060,0.0244,0.0646,0.1214,N/A,0.973
42,"n=2000, prev=0.3, low, strong",Fixed-0.5,427.4,N/A,0.713,0.080,0.1184,0.1220,0.1652,N/A,0.765
42,"n=2000, prev=0.3, low, strong",No Caliper,599.8,N/A,1.000,0.315,0.7874,0.7874,0.7970,N/A,0.000
43,"n=2000, prev=0.5, high, weak",ACS-Balance,842.9,N/A,0.858,0.081,0.0549,0.0624,0.0899,N/A,0.808
43,"n=2000, prev=0.5, high, weak",ACS-Knee,797.7,N/A,0.812,0.039,0.0175,0.0448,0.0763,N/A,0.925
43,"n=2000, prev=0.5, high, weak",ACS-Weighted,839.1,N/A,0.854,0.073,0.0517,0.0627,0.0917,N/A,0.787
43,"n=2000, prev=0.5, high, weak",Fixed-0.1,769.9,N/A,0.784,0.031,0.0004,0.0409,0.0739,N/A,0.949
43,"n=2000, prev=0.5, high, weak",Fixed-0.2,776.1,N/A,0.790,0.031,0.0023,0.0409,0.0738,N/A,0.950
43,"n=2000, prev=0.5, high, weak",Fixed-0.5,796.4,N/A,0.811,0.040,0.0158,0.0427,0.0746,N/A,0.941
43,"n=2000, prev=0.5, high, weak",No Caliper,982.6,N/A,1.000,0.301,0.2344,0.2344,0.2452,N/A,0.002
44,"n=2000, prev=0.5, high, strong",ACS-Balance,843.0,N/A,0.858,0.081,0.1840,0.1840,0.2027,N/A,0.160
44,"n=2000, prev=0.5, high, strong",ACS-Knee,798.3,N/A,0.813,0.040,0.0609,0.0734,0.1143,N/A,0.831
44,"n=2000, prev=0.5, high, strong",ACS-Weighted,841.5,N/A,0.857,0.075,0.1803,0.1809,0.2183,N/A,0.328
44,"n=2000, prev=0.5, high, strong",Fixed-0.1,769.7,N/A,0.784,0.031,0.0017,0.0417,0.0848,N/A,0.986
44,"n=2000, prev=0.5, high, strong",Fixed-0.2,775.9,N/A,0.790,0.031,0.0083,0.0423,0.0847,N/A,0.983
44,"n=2000, prev=0.5, high, strong",Fixed-0.5,796.5,N/A,0.811,0.039,0.0539,0.0622,0.0995,N/A,0.923
44,"n=2000, prev=0.5, high, strong",No Caliper,982.2,N/A,1.000,0.301,0.7799,0.7799,0.7909,N/A,0.000
45,"n=2000, prev=0.5, medium, weak",ACS-Balance,679.2,N/A,0.690,0.091,0.0547,0.0645,0.0958,N/A,0.848
45,"n=2000, prev=0.5, medium, weak",ACS-Knee,639.9,N/A,0.650,0.058,0.0234,0.0513,0.0870,N/A,0.906
45,"n=2000, prev=0.5, medium, weak",ACS-Weighted,714.6,N/A,0.726,0.122,0.0868,0.0932,0.1240,N/A,0.632
45,"n=2000, prev=0.5, medium, weak",Fixed-0.1,604.1,N/A,0.614,0.043,-0.0017,0.0463,0.0829,N/A,0.957
45,"n=2000, prev=0.5, medium, weak",Fixed-0.2,611.4,N/A,0.621,0.044,0.0023,0.0457,0.0823,N/A,0.953
45,"n=2000, prev=0.5, medium, weak",Fixed-0.5,646.0,N/A,0.656,0.063,0.0277,0.0496,0.0846,N/A,0.916
45,"n=2000, prev=0.5, medium, weak",No Caliper,984.3,N/A,1.000,0.507,0.4078,0.4078,0.4141,N/A,0.000
46,"n=2000, prev=0.5, medium, strong",ACS-Balance,677.5,N/A,0.689,0.091,0.1915,0.1917,0.2150,N/A,0.220
46,"n=2000, prev=0.5, medium, strong",ACS-Knee,640.3,N/A,0.651,0.060,0.0905,0.1021,0.1500,N/A,0.742
46,"n=2000, prev=0.5, medium, strong",ACS-Weighted,715.3,N/A,0.727,0.124,0.3057,0.3062,0.3544,N/A,0.118
46,"n=2000, prev=0.5, medium, strong",Fixed-0.1,603.3,N/A,0.613,0.043,0.0030,0.0515,0.0974,N/A,0.975
46,"n=2000, prev=0.5, medium, strong",Fixed-0.2,610.7,N/A,0.621,0.044,0.0160,0.0517,0.0976,N/A,0.970
46,"n=2000, prev=0.5, medium, strong",Fixed-0.5,645.2,N/A,0.656,0.063,0.1010,0.1027,0.1378,N/A,0.745
46,"n=2000, prev=0.5, medium, strong",No Caliper,983.8,N/A,1.000,0.511,1.3694,1.3694,1.3755,N/A,0.000
47,"n=2000, prev=0.5, low, weak",ACS-Balance,515.7,N/A,0.523,0.090,0.0470,0.0653,0.1041,N/A,0.872
47,"n=2000, prev=0.5, low, weak",ACS-Knee,499.3,N/A,0.506,0.078,0.0335,0.0645,0.1039,N/A,0.873
47,"n=2000, prev=0.5, low, weak",ACS-Weighted,592.6,N/A,0.601,0.160,0.1147,0.1213,0.1588,N/A,0.541
47,"n=2000, prev=0.5, low, weak",Fixed-0.1,453.6,N/A,0.460,0.053,0.0003,0.0551,0.0974,N/A,0.943
47,"n=2000, prev=0.5, low, weak",Fixed-0.2,463.4,N/A,0.470,0.055,0.0057,0.0554,0.0971,N/A,0.938
47,"n=2000, prev=0.5, low, weak",Fixed-0.5,512.4,N/A,0.520,0.089,0.0444,0.0640,0.1032,N/A,0.874
47,"n=2000, prev=0.5, low, weak",No Caliper,986.2,N/A,1.000,0.677,0.5415,0.5415,0.5464,N/A,0.000
48,"n=2000, prev=0.5, low, strong",ACS-Balance,514.3,N/A,0.522,0.089,0.1652,0.1666,0.1989,N/A,0.433
48,"n=2000, prev=0.5, low, strong",ACS-Knee,499.0,N/A,0.506,0.078,0.1244,0.1363,0.1924,N/A,0.689
48,"n=2000, prev=0.5, low, strong",ACS-Weighted,591.6,N/A,0.600,0.159,0.3899,0.3904,0.4614,N/A,0.147
48,"n=2000, prev=0.5, low, strong",Fixed-0.1,452.2,N/A,0.459,0.053,0.0054,0.0583,0.1122,N/A,0.978
48,"n=2000, prev=0.5, low, strong",Fixed-0.2,462.2,N/A,0.469,0.054,0.0272,0.0619,0.1140,N/A,0.971
48,"n=2000, prev=0.5, low, strong",Fixed-0.5,511.8,N/A,0.519,0.089,0.1579,0.1586,0.1903,N/A,0.504
48,"n=2000, prev=0.5, low, strong",No Caliper,985.8,N/A,1.000,0.676,1.8089,1.8089,1.8132,N/A,0.000
49,"n=2000, prev=0.7, high, weak",ACS-Balance,595.5,N/A,0.993,0.087,0.0519,0.0638,0.0982,N/A,0.869
49,"n=2000, prev=0.7, high, weak",ACS-Knee,590.8,N/A,0.986,0.065,0.0312,0.0554,0.0925,N/A,0.903
49,"n=2000, prev=0.7, high, weak",ACS-Weighted,594.0,N/A,0.991,0.074,0.0413,0.0595,0.0956,N/A,0.877
49,"n=2000, prev=0.7, high, weak",Fixed-0.1,577.3,N/A,0.963,0.045,0.0012,0.0446,0.0834,N/A,0.955
49,"n=2000, prev=0.7, high, weak",Fixed-0.2,581.7,N/A,0.971,0.046,0.0037,0.0441,0.0827,N/A,0.955
49,"n=2000, prev=0.7, high, weak",Fixed-0.5,589.6,N/A,0.984,0.062,0.0258,0.0497,0.0866,N/A,0.936
49,"n=2000, prev=0.7, high, weak",No Caliper,599.4,N/A,1.000,0.332,0.2518,0.2518,0.2669,N/A,0.021
50,"n=2000, prev=0.7, high, strong",ACS-Balance,596.4,N/A,0.993,0.087,0.1729,0.1743,0.2055,N/A,0.360
50,"n=2000, prev=0.7, high, strong",ACS-Knee,591.9,N/A,0.985,0.065,0.1064,0.1191,0.1673,N/A,0.690
50,"n=2000, prev=0.7, high, strong",ACS-Weighted,595.4,N/A,0.991,0.076,0.1457,0.1523,0.1953,N/A,0.533
50,"n=2000, prev=0.7, high, strong",Fixed-0.1,578.2,N/A,0.963,0.046,0.0041,0.0527,0.1011,N/A,0.974
50,"n=2000, prev=0.7, high, strong",Fixed-0.2,582.7,N/A,0.970,0.045,0.0157,0.0539,0.1019,N/A,0.969
50,"n=2000, prev=0.7, high, strong",Fixed-0.5,590.6,N/A,0.983,0.062,0.0892,0.0950,0.1344,N/A,0.809
50,"n=2000, prev=0.7, high, strong",No Caliper,600.8,N/A,1.000,0.336,0.8492,0.8492,0.8620,N/A,0.000
51,"n=2000, prev=0.7, medium, weak",ACS-Balance,530.3,N/A,0.884,0.090,0.0498,0.0656,0.1028,N/A,0.885
51,"n=2000, prev=0.7, medium, weak",ACS-Knee,535.8,N/A,0.893,0.117,0.0719,0.0922,0.1375,N/A,0.726
51,"n=2000, prev=0.7, medium, weak",ACS-Weighted,569.3,N/A,0.949,0.171,0.1238,0.1255,0.1535,N/A,0.484
51,"n=2000, prev=0.7, medium, weak",Fixed-0.1,495.0,N/A,0.826,0.050,0.0012,0.0520,0.0923,N/A,0.950
51,"n=2000, prev=0.7, medium, weak",Fixed-0.2,500.4,N/A,0.835,0.052,0.0068,0.0516,0.0919,N/A,0.951
51,"n=2000, prev=0.7, medium, weak",Fixed-0.5,524.9,N/A,0.876,0.082,0.0413,0.0603,0.0984,N/A,0.911
51,"n=2000, prev=0.7, medium, weak",No Caliper,599.7,N/A,1.000,0.547,0.4309,0.4309,0.4401,N/A,0.000
52,"n=2000, prev=0.7, medium, strong",ACS-Balance,529.5,N/A,0.884,0.090,0.1711,0.1727,0.2036,N/A,0.398
52,"n=2000, prev=0.7, medium, strong",ACS-Knee,534.1,N/A,0.892,0.116,0.2383,0.2487,0.3742,N/A,0.576
52,"n=2000, prev=0.7, medium, strong",ACS-Weighted,568.1,N/A,0.949,0.170,0.4112,0.4112,0.4356,N/A,0.020
52,"n=2000, prev=0.7, medium, strong",Fixed-0.1,494.5,N/A,0.826,0.050,0.0063,0.0536,0.1056,N/A,0.977
52,"n=2000, prev=0.7, medium, strong",Fixed-0.2,499.8,N/A,0.835,0.052,0.0244,0.0578,0.1085,N/A,0.963
52,"n=2000, prev=0.7, medium, strong",Fixed-0.5,524.0,N/A,0.875,0.082,0.1418,0.1428,0.1758,N/A,0.569
52,"n=2000, prev=0.7, medium, strong",No Caliper,598.8,N/A,1.000,0.545,1.4473,1.4473,1.4545,N/A,0.000
53,"n=2000, prev=0.7, low, weak",ACS-Balance,422.9,N/A,0.705,0.091,0.0449,0.0673,0.1098,N/A,0.910
53,"n=2000, prev=0.7, low, weak",ACS-Knee,468.9,N/A,0.782,0.186,0.1228,0.1458,0.2052,N/A,0.615
53,"n=2000, prev=0.7, low, weak",ACS-Weighted,543.0,N/A,0.905,0.296,0.2221,0.2221,0.2487,N/A,0.156
53,"n=2000, prev=0.7, low, weak",Fixed-0.1,384.0,N/A,0.640,0.061,0.0014,0.0601,0.1058,N/A,0.953
53,"n=2000, prev=0.7, low, weak",Fixed-0.2,392.3,N/A,0.654,0.063,0.0093,0.0592,0.1047,N/A,0.944
53,"n=2000, prev=0.7, low, weak",Fixed-0.5,433.1,N/A,0.722,0.108,0.0573,0.0727,0.1140,N/A,0.884
53,"n=2000, prev=0.7, low, weak",No Caliper,600.3,N/A,1.000,0.720,0.5708,0.5708,0.5779,N/A,0.000
54,"n=2000, prev=0.7, low, strong",ACS-Balance,422.8,N/A,0.705,0.090,0.1525,0.1563,0.1964,N/A,0.571
54,"n=2000, prev=0.7, low, strong",ACS-Knee,467.2,N/A,0.779,0.183,0.4034,0.4118,0.6045,N/A,0.523
54,"n=2000, prev=0.7, low, strong",ACS-Weighted,543.8,N/A,0.907,0.298,0.7508,0.7508,0.7968,N/A,0.002
54,"n=2000, prev=0.7, low, strong",Fixed-0.1,384.6,N/A,0.642,0.060,0.0086,0.0629,0.1215,N/A,0.975
54,"n=2000, prev=0.7, low, strong",Fixed-0.2,392.8,N/A,0.655,0.063,0.0349,0.0668,0.1242,N/A,0.962
54,"n=2000, prev=0.7, low, strong",Fixed-0.5,433.6,N/A,0.723,0.108,0.1970,0.1973,0.2283,N/A,0.367
54,"n=2000, prev=0.7, low, strong",No Caliper,599.7,N/A,1.000,0.720,1.9130,1.9130,1.9184,N/A,0.000
