Scenario ID,Scenario,Method,Retention,Max |SMD|,Mean |Bias|,RMSE,Coverage,CI Width
4,"n=500, prev=0.3, medium, strong",ACS-Knee,0.8959,0.1068,0.1644,0.2602,0.874,0.639
4,"n=500, prev=0.3, medium, strong",ACS-Weighted,0.9251,0.1152,0.207,0.2965,0.782,0.6341
4,"n=500, prev=0.3, medium, strong",Fixed-0.1,0.7989,0.1049,0.1157,0.2233,0.979,0.6671
4,"n=500, prev=0.3, medium, strong",Fixed-0.2,0.817,0.101,0.1147,0.2212,0.975,0.6599
4,"n=500, prev=0.3, medium, strong",Fixed-0.5,0.8556,0.0999,0.1219,0.2243,0.961,0.6462
4,"n=500, prev=0.3, medium, strong",No Caliper,1.0,0.1894,0.3849,0.455,0.369,0.6388
5,"n=500, prev=0.3, low, weak",ACS-Balance,0.6832,0.1004,0.1197,0.2075,0.94,0.5729
5,"n=500, prev=0.3, low, weak",ACS-Knee,0.7501,0.141,0.1263,0.2085,0.913,0.5462
5,"n=500, prev=0.3, low, weak",ACS-Weighted,0.8182,0.1691,0.1417,0.2184,0.853,0.5236
5,"n=500, prev=0.3, low, weak",Fixed-0.1,0.6237,0.1224,0.1212,0.2132,0.953,0.5978
5,"n=500, prev=0.3, low, weak",Fixed-0.2,0.641,0.1187,0.1187,0.2099,0.957,0.5897
5,"n=500, prev=0.3, low, weak",Fixed-0.5,0.7034,0.1269,0.1174,0.2042,0.947,0.5626
5,"n=500, prev=0.3, low, weak",No Caliper,1.0,0.3517,0.2413,0.2945,0.505,0.478
6,"n=500, prev=0.3, low, strong",ACS-Balance,0.6842,0.0994,0.1526,0.2639,0.94,0.7205
6,"n=500, prev=0.3, low, strong",ACS-Knee,0.7468,0.1384,0.2373,0.3391,0.753,0.6955
6,"n=500, prev=0.3, low, strong",ACS-Weighted,0.8181,0.1694,0.3536,0.4449,0.517,0.6741
6,"n=500, prev=0.3, low, strong",Fixed-0.1,0.6241,0.1233,0.1281,0.2503,0.977,0.7493
6,"n=500, prev=0.3, low, strong",Fixed-0.2,0.6416,0.1177,0.1278,0.2485,0.975,0.7391
6,"n=500, prev=0.3, low, strong",Fixed-0.5,0.7033,0.125,0.1572,0.2664,0.936,0.7087
6,"n=500, prev=0.3, low, strong",No Caliper,1.0,0.3545,0.8077,0.8449,0.004,0.6657
7,"n=500, prev=0.5, high, weak",ACS-Balance,0.8485,0.0875,0.086,0.1502,0.933,0.4055
7,"n=500, prev=0.5, high, weak",ACS-Knee,0.8308,0.0735,0.0843,0.1487,0.945,0.4091
7,"n=500, prev=0.5, high, weak",ACS-Weighted,0.8659,0.0984,0.0963,0.1581,0.904,0.4017
7,"n=500, prev=0.5, high, weak",Fixed-0.1,0.7642,0.0679,0.0849,0.151,0.956,0.4261
7,"n=500, prev=0.5, high, weak",Fixed-0.2,0.7836,0.0645,0.0829,0.1487,0.966,0.421
7,"n=500, prev=0.5, high, weak",Fixed-0.5,0.8113,0.0674,0.0816,0.1468,0.959,0.4138
7,"n=500, prev=0.5, high, weak",No Caliper,1.0,0.3283,0.2258,0.2671,0.379,0.3832
8,"n=500, prev=0.5, high, strong",ACS-Balance,0.8472,0.088,0.1539,0.2282,0.86,0.5437
8,"n=500, prev=0.5, high, strong",ACS-Knee,0.8287,0.0731,0.1265,0.2102,0.911,0.5469
8,"n=500, prev=0.5, high, strong",ACS-Weighted,0.8664,0.1011,0.2067,0.2851,0.699,0.5422
8,"n=500, prev=0.5, high, strong",Fixed-0.1,0.7627,0.0675,0.0897,0.182,0.989,0.5644
8,"n=500, prev=0.5, high, strong",Fixed-0.2,0.7824,0.063,0.087,0.1793,0.989,0.5578
8,"n=500, prev=0.5, high, strong",Fixed-0.5,0.8097,0.0665,0.0959,0.1845,0.977,0.5502
