method,caliper,n_matched,retention,max_smd,mean_smd,att,se,bias,mse,coverage,ci_width,replication,scenario_id,n,treatment_prevalence,overlap_name,overlap_level,confounding_name,confounding_strength
ACS-Knee,0.4,299,0.6016096579476862,0.07703821651737768,0.03307752053741056,0.5815213975822899,0.10010982483272464,0.08152139758228993,0.016667715291808598,1.0,0.3940235622876347,7,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,0.9,345,0.6941649899396378,0.13611398742310293,0.09169664511956382,0.8329155639383924,0.09581956953435679,0.3329155639383924,0.12001416261816726,0.0,0.3769319633645599,7,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,315,0.6716417910447762,0.046473783617283174,0.028204206401424212,0.548567719692898,0.11288183674326564,0.04856771969289797,0.015101132462701186,1.0,0.4442007960797438,8,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,317,0.67590618336887,0.0521029984883337,0.025517747096870696,0.5886306625787612,0.11396586271339923,0.08863066257876118,0.020843612213159578,1.0,0.4484555601019633,8,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,331,0.7057569296375267,0.054354297544530514,0.03782445627786304,0.6439902040071676,0.10829803681288436,0.14399020400716755,0.032461643627550586,1.0,0.4260831770719229,8,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,469,1.0,0.5401961786406893,0.3603010079018015,1.9699516477673364,0.11719231300611664,1.4699516477673364,2.1744918850016313,0.0,0.4605765370797388,8,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.9,362,0.7718550106609808,0.09953056549367709,0.08703592610212775,0.8448767713607243,0.10368257682640362,0.34487677136072425,0.12969006416156037,0.0,0.4077954121932611,8,1,1000,0.5,medium,0.6,strong,1.0
ACS-Knee,0.1,315,0.6716417910447762,0.046473783617283174,0.028204206401424212,0.548567719692898,0.11288183674326564,0.04856771969289797,0.015101132462701186,1.0,0.4442007960797438,8,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,1.0,371,0.7910447761194029,0.11744036828892895,0.10485621587052289,0.9015673594941256,0.10269269539668079,0.4015673594941256,0.17180213389891974,0.0,0.4038690512064762,8,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,277,0.5551102204408818,0.04335533853764766,0.02283511300612585,0.3273956735929427,0.11244303921321312,-0.1726043264070573,0.04243569056193816,1.0,0.4427099118811072,9,1,1000,0.5,medium,0.6,strong,1.0
